Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Dew Point Units,DHI Units,DNI Units,GHI Units,Version
NSRDB,1143431,-,-,-,38.89,-77.1,0,78,-5,c,w/m2,w/m2,w/m2,3.1.1
Year,Month,Day,GHI,DNI,DHI,,,,,,,,,
2017,3,20,114.3854667,187.0737823,41.23248054,,,,,,,,,
2017,3,21,114.3639322,187.0615309,41.21902674,,,,,,,,,
2017,3,22,114.3423977,187.0492795,41.20557294,,,,,,,,,
2017,3,23,114.3208632,187.0370281,41.19211914,,,,,,,,,
2017,3,24,114.2993287,187.0247767,41.17866534,,,,,,,,,
2017,3,25,114.2777943,187.0125253,41.16521154,,,,,,,,,
2017,3,26,114.2562598,187.0002739,41.15175774,,,,,,,,,
2017,3,27,114.2347253,186.9880224,41.13830394,,,,,,,,,
2017,3,28,114.2131908,186.975771,41.12485014,,,,,,,,,
2017,3,29,114.1916563,186.9635196,41.11139634,,,,,,,,,
2017,3,30,114.1701219,186.9512682,41.09794255,,,,,,,,,
2017,3,31,114.1485874,186.9390168,41.08448875,,,,,,,,,
2017,4,1,114.1270529,186.9267654,41.07103495,,,,,,,,,
2017,4,2,114.1055184,186.914514,41.05758115,,,,,,,,,
2017,4,3,114.0839839,186.9022626,41.04412735,,,,,,,,,
2017,4,4,114.0624494,186.8900112,41.03067355,,,,,,,,,
2017,4,5,114.040915,186.8777597,41.01721975,,,,,,,,,
2017,4,6,114.0193805,186.8655083,41.00376595,,,,,,,,,
2017,4,7,113.997846,186.8532569,40.99031215,,,,,,,,,
2017,4,8,113.9763115,186.8410055,40.97685835,,,,,,,,,
2017,4,9,113.954777,186.8287541,40.96340455,,,,,,,,,
2017,4,10,113.9332426,186.8165027,40.94995075,,,,,,,,,
2017,4,11,113.9117081,186.8042513,40.93649695,,,,,,,,,
2017,4,12,113.8901736,186.7919999,40.92304315,,,,,,,,,
2017,4,13,113.8686391,186.7797485,40.90958936,,,,,,,,,
2017,4,14,113.8471046,186.767497,40.89613556,,,,,,,,,
2017,4,15,113.8255702,186.7552456,40.88268176,,,,,,,,,
2017,4,16,113.8040357,186.7429942,40.86922796,,,,,,,,,
2017,4,17,113.7825012,186.7307428,40.85577415,,,,,,,,,
2017,4,18,113.7609667,186.7184914,40.84232034,,,,,,,,,
2017,4,19,113.7394322,186.70624,40.82886653,,,,,,,,,
2017,4,20,113.7178977,186.6939886,40.81541272,,,,,,,,,
2017,4,21,113.6963632,186.6817372,40.80195891,,,,,,,,,
2017,4,22,113.6748287,186.6694858,40.7885051,,,,,,,,,
2017,4,23,113.6532942,186.6572343,40.77505128,,,,,,,,,
2017,4,24,113.6317597,186.6449829,40.76159747,,,,,,,,,
2017,4,25,113.6102252,186.6327315,40.74814366,,,,,,,,,
2017,4,26,113.5886907,186.6204801,40.73468985,,,,,,,,,
2017,4,27,113.5671562,186.6082287,40.72123604,,,,,,,,,
2017,4,28,113.5456217,186.5959773,40.70778223,,,,,,,,,
2017,4,29,113.5240872,186.5837259,40.69432842,,,,,,,,,
2017,4,30,113.5025527,186.5714745,40.68087461,,,,,,,,,
2017,5,1,113.4810182,186.559223,40.6674208,,,,,,,,,
2017,5,2,113.4594837,186.5469716,40.65396699,,,,,,,,,
2017,5,3,113.4379492,186.5347202,40.64051318,,,,,,,,,
2017,5,4,113.4164147,186.5224688,40.62705937,,,,,,,,,
2017,5,5,113.3948802,186.5102174,40.61360556,,,,,,,,,
2017,5,6,113.3733457,186.497966,40.60015175,,,,,,,,,
2017,5,7,113.3518112,186.4857146,40.58669794,,,,,,,,,
2017,5,8,113.3302767,186.4734632,40.57324413,,,,,,,,,
2017,5,9,113.3087422,186.4612117,40.55979032,,,,,,,,,
2017,5,10,113.2872077,186.4489603,40.54633651,,,,,,,,,
2017,5,11,113.2656732,186.4367089,40.5328827,,,,,,,,,
2017,5,12,113.2441387,186.4244575,40.51942889,,,,,,,,,
2017,5,13,113.2226042,186.4122061,40.50597508,,,,,,,,,
2017,5,14,113.2010697,186.3999547,40.49252126,,,,,,,,,
2017,5,15,113.1795352,186.3877033,40.47906745,,,,,,,,,
2017,5,16,113.1580007,186.3754519,40.46561364,,,,,,,,,
2017,5,17,113.1364662,186.3632005,40.45215983,,,,,,,,,
2017,5,18,113.1149317,186.350949,40.43870602,,,,,,,,,
2017,5,19,113.0933972,186.3386976,40.42525221,,,,,,,,,
2017,5,20,113.0718627,186.3264462,40.4117984,,,,,,,,,
2017,5,21,113.0503282,186.3141948,40.39834459,,,,,,,,,
2017,5,22,113.0287937,186.3019434,40.38323535,,,,,,,,,
2017,5,23,113.0072592,186.289692,40.36812611,,,,,,,,,
2017,5,24,112.9857247,186.2774406,40.35301687,,,,,,,,,
2017,5,25,112.9641901,186.2651892,40.33790764,,,,,,,,,
2017,5,26,112.9426556,186.2529378,40.3227984,,,,,,,,,
2017,5,27,112.9211211,186.2406864,40.30768916,,,,,,,,,
2017,5,28,112.8995866,186.228435,40.29257992,,,,,,,,,
2017,5,29,112.8780521,186.2161836,40.27747068,,,,,,,,,
2017,5,30,112.8565176,186.2039323,40.26236144,,,,,,,,,
2017,5,31,112.8349831,186.1916809,40.2472522,,,,,,,,,
2017,6,1,112.8134486,186.1794295,40.23214296,,,,,,,,,
2017,6,2,112.7919141,186.1671781,40.21703373,,,,,,,,,
2017,6,3,112.7703796,186.1549267,40.20192449,,,,,,,,,
2017,6,4,112.7488451,186.1426753,40.18681525,,,,,,,,,
2017,6,5,112.7273106,186.1304239,40.17170601,,,,,,,,,
2017,6,6,112.7057761,186.1181725,40.15659677,,,,,,,,,
2017,6,7,112.6842416,186.1059211,40.14148753,,,,,,,,,
2017,6,8,112.6627071,186.0936697,40.12637829,,,,,,,,,
2017,6,9,112.6411726,186.0814183,40.11126905,,,,,,,,,
2017,6,10,112.6196381,186.0691669,40.09615981,,,,,,,,,
2017,6,11,112.5981036,186.0569155,40.08105058,,,,,,,,,
2017,6,12,112.5765691,186.0446641,40.06594134,,,,,,,,,
2017,6,13,112.5550346,186.0324127,40.0508321,,,,,,,,,
2017,6,14,112.5335001,186.0201613,40.03572286,,,,,,,,,
2017,6,15,112.5119656,186.0079099,40.02061362,,,,,,,,,
2017,6,16,112.4904311,185.9956586,40.00550438,,,,,,,,,
2017,6,17,112.4688966,185.9834072,39.99039514,,,,,,,,,
2017,6,18,112.4473621,185.9711558,39.9752859,,,,,,,,,
2017,6,19,112.4258276,185.9589044,39.96017666,,,,,,,,,
2017,6,20,112.4042931,185.946653,39.94506743,,,,,,,,,
2017,6,21,112.3827586,185.9344016,39.92995819,,,,,,,,,
2017,6,22,112.3612241,185.9221502,39.91484895,,,,,,,,,
2017,6,23,112.3396896,185.9098988,39.89973971,,,,,,,,,
2017,6,24,112.3181551,185.8976474,39.88463047,,,,,,,,,
2017,6,25,112.2966206,185.885396,39.86952123,,,,,,,,,
2017,6,26,112.2750861,185.8731446,39.85301249,,,,,,,,,
2017,6,27,112.2535516,185.8608932,39.83650375,,,,,,,,,
2017,6,28,112.232017,185.8486418,39.819995,,,,,,,,,
2017,6,29,112.2104825,185.8363904,39.80348626,,,,,,,,,
2017,6,30,112.188948,185.8241391,39.78697752,,,,,,,,,
2017,7,1,112.1674135,185.8118877,39.77046877,,,,,,,,,
2017,7,2,112.1458789,185.7996363,39.75396003,,,,,,,,,
2017,7,3,112.1243444,185.7873849,39.73745129,,,,,,,,,
2017,7,4,112.1028099,185.7751335,39.72094255,,,,,,,,,
2017,7,5,112.0812754,185.7628821,39.7044338,,,,,,,,,
2017,7,6,112.0597408,185.7506307,39.68792506,,,,,,,,,
2017,7,7,112.0382063,185.7383793,39.67141632,,,,,,,,,
2017,7,8,112.0166718,185.7261279,39.65490758,,,,,,,,,
2017,7,9,111.9951373,185.7138765,39.63839883,,,,,,,,,
2017,7,10,111.9736027,185.7016252,39.62189009,,,,,,,,,
2017,7,11,111.9520682,185.6893738,39.60538135,,,,,,,,,
2017,7,12,111.9305337,185.6771224,39.5888726,,,,,,,,,
2017,7,13,111.9089992,185.664871,39.57236386,,,,,,,,,
2017,7,14,111.8874646,185.6526196,39.55585512,,,,,,,,,
2017,7,15,111.8659301,185.6403682,39.53934638,,,,,,,,,
2017,7,16,111.8443956,185.6281168,39.52283763,,,,,,,,,
2017,7,17,111.8228611,185.6158654,39.50632889,,,,,,,,,
2017,7,18,111.8013265,185.603614,39.48982015,,,,,,,,,
2017,7,19,111.779792,185.5913626,39.4733114,,,,,,,,,
2017,7,20,111.7582575,185.5791113,39.45680266,,,,,,,,,
2017,7,21,111.736723,185.5668599,39.44029392,,,,,,,,,
2017,7,22,111.7151884,185.5546085,39.42378518,,,,,,,,,
2017,7,23,111.6936539,185.5423571,39.40727643,,,,,,,,,
2017,7,24,111.6721194,185.5301057,39.39076769,,,,,,,,,
2017,7,25,111.6505849,185.5178543,39.37425895,,,,,,,,,
2017,7,26,111.6290503,185.5056029,39.3577502,,,,,,,,,
2017,7,27,111.6075158,185.4933515,39.34124146,,,,,,,,,
2017,7,28,111.5859813,185.4811001,39.32473272,,,,,,,,,
2017,7,29,111.5644468,185.4688487,39.30822398,,,,,,,,,
2017,7,30,111.5429122,185.4565974,39.29171523,,,,,,,,,
2017,7,31,111.5213777,185.4443463,39.27517847,,,,,,,,,
2017,8,1,111.4998432,185.4320953,39.2586417,,,,,,,,,
2017,8,2,111.4783087,185.4198443,39.24210493,,,,,,,,,
2017,8,3,111.4567741,185.4075932,39.22556816,,,,,,,,,
2017,8,4,111.4352396,185.3953422,39.2090314,,,,,,,,,
2017,8,5,111.4137051,185.3830912,39.19249463,,,,,,,,,
2017,8,6,111.3921706,185.3708401,39.17595786,,,,,,,,,
2017,8,7,111.370636,185.3585891,39.15942109,,,,,,,,,
2017,8,8,111.3491015,185.3463381,39.14288433,,,,,,,,,
2017,8,9,111.327567,185.334087,39.12634756,,,,,,,,,
2017,8,10,111.3060325,185.321836,39.10981079,,,,,,,,,
2017,8,11,111.2844979,185.3095849,39.09327403,,,,,,,,,
2017,8,12,111.2629634,185.2973339,39.07673726,,,,,,,,,
2017,8,13,111.2414289,185.2850829,39.06020049,,,,,,,,,
2017,8,14,111.2198944,185.2728318,39.04366372,,,,,,,,,
2017,8,15,111.1983598,185.2605808,39.02712696,,,,,,,,,
2017,8,16,111.1768253,185.2483298,39.01059019,,,,,,,,,
2017,8,17,111.1552908,185.2360787,38.99405342,,,,,,,,,
2017,8,18,111.1337563,185.2238277,38.97751665,,,,,,,,,
2017,8,19,111.1122217,185.2115767,38.96097989,,,,,,,,,
2017,8,20,111.0906872,185.1993256,38.94444312,,,,,,,,,
2017,8,21,111.0691527,185.1870746,38.92790635,,,,,,,,,
2017,8,22,111.0476182,185.1748236,38.91136958,,,,,,,,,
2017,8,23,111.0260836,185.1625725,38.89483282,,,,,,,,,
2017,8,24,111.0045491,185.1503215,38.87829605,,,,,,,,,
2017,8,25,110.9830146,185.1380705,38.86175928,,,,,,,,,
2017,8,26,110.9614801,185.1258194,38.84522251,,,,,,,,,
2017,8,27,110.9399455,185.1135684,38.82868575,,,,,,,,,
2017,8,28,110.918411,185.1013174,38.81214898,,,,,,,,,
2017,8,29,110.8968765,185.0890663,38.79561221,,,,,,,,,
2017,8,30,110.875342,185.0768153,38.77907545,,,,,,,,,
2017,8,31,110.8538074,185.0645643,38.76253868,,,,,,,,,
